"";"Typ";"grp";"Tydzien_rok";"Dzien_Min";"Dzien_Max";"Ilosc_dni";"Ilosc_interwencji";"Suma_mandatow";"Ilosc_mandatow";"Odsetek_interwencji_z_mandatami";"Sredni_Mandat"
"1";"Inne";2;"01-2016";2016-01-04;2016-01-10;6;40;4118,5;37;0,925;102,9625
"2";"Inne";2;"02-2016";2016-01-11;2016-01-16;5;86;7850;74;0,86046511627907;91,2790697674419
"3";"Inne";2;"03-2016";2016-01-18;2016-01-24;6;77;6500;70;0,909090909090909;84,4155844155844
"4";"Inne";2;"04-2016";2016-01-25;2016-01-31;6;100;9650;86;0,86;96,5
"5";"Inne";2;"05-2016";2016-02-01;2016-02-07;6;105;10050;94;0,895238095238095;95,7142857142857
"6";"Inne";2;"06-2016";2016-02-08;2016-02-14;6;106;10680;83;0,783018867924528;100,754716981132
"7";"Inne";2;"07-2016";2016-02-15;2016-02-21;6;153;15650;120;0,784313725490196;102,287581699346
"8";"Inne";2;"08-2016";2016-02-22;2016-02-28;6;132;14890;116;0,878787878787879;112,80303030303
"9";"Inne";2;"09-2016";2016-02-29;2016-03-06;6;136;15350;111;0,816176470588235;112,867647058824
"10";"Inne";2;"10-2016";2016-03-07;2016-03-13;6;133;13970;114;0,857142857142857;105,037593984962
"11";"Inne";2;"11-2016";2016-03-14;2016-03-20;6;157;13357;121;0,770700636942675;85,0764331210191
"12";"Inne";2;"12-2016";2016-03-21;2016-03-26;5;150;16280;138;0,92;108,533333333333
"13";"Inne";2;"13-2016";2016-03-28;2016-04-03;6;85;9325;73;0,858823529411765;109,705882352941
"14";"Inne";2;"14-2016";2016-04-04;2016-04-10;6;117;10075;99;0,846153846153846;86,1111111111111
"15";"Inne";2;"15-2016";2016-04-11;2016-04-17;6;202;21800;168;0,831683168316832;107,920792079208
"16";"Inne";2;"16-2016";2016-04-18;2016-04-24;6;190;19120;158;0,831578947368421;101,702127659574
"17";"Inne";2;"17-2016";2016-04-25;2016-05-01;6;150;18900;123;0,82;126
"18";"Inne";2;"18-2016";2016-05-02;2016-05-08;6;92;9350;78;0,847826086956522;101,630434782609
"19";"Inne";2;"19-2016";2016-05-09;2016-05-15;6;145;16600;129;0,889655172413793;114,48275862069
"20";"Inne";2;"20-2016";2016-05-16;2016-05-22;6;238;23680;184;0,773109243697479;99,4957983193277
"21";"Inne";2;"21-2016";2016-05-23;2016-05-29;6;197;16750;163;0,82741116751269;85,0253807106599
"22";"Inne";2;"22-2016";2016-05-30;2016-06-05;6;160;16045,5;141;0,88125;100,284375
"23";"Inne";2;"23-2016";2016-06-06;2016-06-12;6;190;16733;174;0,91578947368421;88,0684210526316
"24";"Inne";2;"24-2016";2016-06-13;2016-06-19;6;178;15050;148;0,831460674157303;84,5505617977528
"25";"Inne";2;"25-2016";2016-06-20;2016-06-26;6;140;11870;123;0,878571428571429;84,7857142857143
"26";"Inne";2;"26-2016";2016-06-27;2016-07-03;6;126;13170;115;0,912698412698413;104,52380952381
"27";"Inne";2;"27-2016";2016-07-04;2016-07-10;6;149;14955;133;0,89261744966443;100,369127516779
"28";"Inne";2;"28-2016";2016-07-11;2016-07-17;6;106;8781;87;0,820754716981132;82,8396226415094
"29";"Inne";2;"29-2016";2016-07-18;2016-07-23;5;135;13150;110;0,814814814814815;97,4074074074074
"30";"Inne";2;"30-2016";2016-07-25;2016-07-31;6;89;7740;77;0,865168539325843;86,9662921348315
"31";"Inne";2;"31-2016";2016-08-01;2016-08-06;5;87;10800;70;0,804597701149425;124,137931034483
"32";"Inne";2;"32-2016";2016-08-08;2016-08-13;5;66;5640;57;0,863636363636364;85,4545454545455
"33";"Inne";2;"33-2016";2016-08-16;2016-08-21;5;87;7030;72;0,827586206896552;80,8045977011494
"34";"Inne";2;"34-2016";2016-08-22;2016-08-28;6;90;9200;79;0,877777777777778;102,222222222222
"35";"Inne";2;"35-2016";2016-08-29;2016-09-04;6;93;8100;77;0,827956989247312;87,0967741935484
"36";"Inne";2;"36-2016";2016-09-05;2016-09-10;5;135;9050;100;0,740740740740741;67,037037037037
"37";"Inne";2;"37-2016";2016-09-12;2016-09-17;5;120;9350;90;0,75;77,9166666666667
"38";"Inne";2;"38-2016";2016-09-19;2016-09-25;6;62;4600;48;0,774193548387097;74,1935483870968
"39";"Inne";2;"39-2016";2016-09-26;2016-10-01;5;101;10300;86;0,851485148514851;101,980198019802
"40";"Inne";2;"40-2016";2016-10-03;2016-10-08;5;66;7410;56;0,848484848484849;112,272727272727
"41";"Inne";2;"41-2016";2016-10-10;2016-10-16;6;112;8652,57;90;0,803571428571429;77,2550892857143
"42";"Inne";2;"42-2016";2016-10-17;2016-10-23;6;89;7720;77;0,865168539325843;86,7415730337079
"43";"Inne";2;"43-2016";2016-10-24;2016-10-30;6;94;9500;80;0,851063829787234;101,063829787234
"44";"Inne";2;"44-2016";2016-10-31;2016-11-06;6;87;11450;82;0,942528735632184;131,609195402299
"45";"Inne";2;"45-2016";2016-11-07;2016-11-12;5;48;5050;44;0,916666666666667;105,208333333333
"46";"Inne";2;"47-2016";2016-11-21;2016-11-27;6;78;7320,8;66;0,846153846153846;93,8564102564103
"47";"Inne";2;"48-2016";2016-11-28;2016-12-04;6;68;7150;62;0,911764705882353;105,147058823529
"48";"Inne";2;"49-2016";2016-12-05;2016-12-10;5;56;4860;47;0,839285714285714;86,7857142857143
"49";"Inne";2;"50-2016";2016-12-12;2016-12-17;5;68;5750;56;0,823529411764706;84,5588235294118
"50";"Inne";2;"02-2017";2017-01-09;2017-01-14;5;52;5650;46;0,884615384615385;108,653846153846
"51";"Inne";2;"03-2017";2017-01-16;2017-01-22;6;69;7600;55;0,797101449275362;110,144927536232
"52";"Inne";2;"04-2017";2017-01-23;2017-01-29;6;52;4800;40;0,769230769230769;92,3076923076923
"53";"Inne";2;"05-2017";2017-01-30;2017-02-05;6;58;6400;50;0,862068965517241;110,344827586207
"54";"Inne";2;"06-2017";2017-02-06;2017-02-12;6;76;8700;64;0,842105263157895;114,473684210526
"55";"Inne";2;"07-2017";2017-02-13;2017-02-19;6;101;13200;92;0,910891089108911;130,693069306931
"56";"Inne";2;"08-2017";2017-02-20;2017-02-26;6;75;9290;61;0,813333333333333;123,866666666667
"57";"Inne";2;"09-2017";2017-02-27;2017-03-05;6;104;10720;86;0,826923076923077;103,076923076923
